id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,occupancy_rate,estimated_annual_revenue,revenue_per_available_day,host_type,host_performance_score,neighbourhood_average_price,demand_score,days_since_last_review,city_average_price,price_index,price_category,minimum_nights_bucket
26109264,Beautiful Executive Studio In East Boston Eb2-31,18202088,Luxurious,Not Specified,East Boston,42.36823,-71.04193,Entire Home/Apt,$110.00,91,0,,0,18,0,Boston,100.00%,"$40,150.00",110,Professional,0.00,$159.38,-1.43,,$172.97,0.64,Budget,91–180 Nights
33037113,"Modern, Upscale 2 Bedroom Condo La Jolla-Near Ucsd",130954997,Heather,Not Specified,La Jolla Village,32.86993,-117.23424,Entire Home/Apt,$121.00,31,3,8/28/2019,0.2,22,127,San Diego,65.20%,"$28,798.00",78.892,Commercial Operator,0.02,$182.00,-1.24,469,$306.57,0.39,Budget,31–90 Nights
23539929,1 Private Bedroom Shared Bath,2128112,Tammy,Not Specified,78756,30.31887,-97.73737,Private Room,$55.00,2,2,3/18/2018,0.07,1,0,Austin,100.00%,"$20,075.00",55,Individual,0.14,$122.00,-1.45,997,$267.45,0.21,Budget,2–3 Nights
35769495,"Charming Studio In Waikiki, Near Beaches, Shops.",269059707,Kimi,Honolulu,Primary Urban Center,21.28401,-157.83771,Entire Home/Apt,$74.00,1,42,12/31/2019,2.78,1,0,Hawaii,100.00%,"$27,010.00",74,Individual,116.76,$219.00,0.85,344,$316.90,0.23,Budget,1 Night
30296364,Newly Renovated Place For Students And Young Pros,227548199,Abi,Brooklyn,Midwood,40.62375,-73.96286,Shared Room,$45.00,1,1,1/9/2019,0.08,1,365,New York City,0.00%,$0.00,0,Individual,0.00,$74.00,-1.47,700,$162.83,0.28,Budget,1 Night
322037,"Luxury Williamsburg, Brooklyn Loft",1649300,James,Brooklyn,Williamsburg,40.72091,-73.95814,Entire Home/Apt,$207.00,2,260,6/9/2020,11.03,1,0,New York City,100.00%,"$75,555.00",207,Individual,2867.80,$125.13,9.47,183,$162.83,1.27,Premium,2–3 Nights
43368523,"Entire Home, Except For One Room",330105492,Brenda,Not Specified,Old City-Produce And Waterfront,37.79354,-122.2721,Private Room,$500.00,1,0,,0,1,269,Oakland,26.30%,"$48,000.00",131.5,Individual,0.00,$296.50,-0.78,,$157.03,3.18,Premium,1 Night
29183448,Low-Key Apartment With A Patio In Studio City,219907461,Visi,City Of Los Angeles,Studio City,34.14515,-118.38373,Private Room,$110.00,2,34,9/3/2020,1.52,1,57,Los Angeles,84.40%,"$33,880.00",92.84,Individual,43.62,$222.65,0.02,97,$230.70,0.48,Budget,2–3 Nights
13533847,Venice Beach Bungalow. 3 Bedrooms.,77825422,Gillian,City Of Los Angeles,Venice,34.00049,-118.47108,Entire Home/Apt,$279.00,30,3,10/7/2019,0.06,1,0,Los Angeles,100.00%,"$101,835.00",279,Individual,0.18,$255.20,-1.06,429,$230.70,1.21,Premium,8–30 Nights
44486985,Serene And Colorful In Vibrant Nyc,218613116,Yuria,Manhattan,East Harlem,40.7933,-73.94584,Private Room,$150.00,1,0,,0,1,179,New York City,51.00%,"$27,900.00",76.5,Individual,0.00,$128.83,-1.36,,$162.83,0.92,Average,1 Night
18876698,The Belmont Cabin: Cozy Cabin In Belmont-Hillsboro,49635,Jaime,Not Specified,District 18,36.13066,-86.79802,Entire Home/Apt,$129.00,2,116,5/7/2020,2.99,1,103,Nashville,71.80%,"$33,798.00",92.622,Individual,249.03,$129.20,2.23,216,$223.27,0.58,Budget,2–3 Nights
33793851,Magnificent Getaway - 10 Beds - Near Fq,8329708,Sam,Not Specified,Central City,29.94234,-90.07578,Entire Home/Apt,$248.00,3,34,10/8/2020,2.13,5,119,New Orleans,67.40%,"$61,008.00",167.152,Small Operator,9.76,$146.22,0.62,62,$158.95,1.56,Premium,2–3 Nights
42950968,Happy Home- Joyous Private Rm With Free Parking,91186260,Jessie,Not Specified,Washington Park,41.79464,-87.6267,Private Room,$26.00,5,2,8/16/2020,0.87,6,64,Chicago,82.50%,"$7,826.00",21.45,Professional,0.24,$146.00,-1.01,115,$152.45,0.17,Budget,4–7 Nights
3455364,Fabulous 3Br Ocean View Villa,15652222,Michael,Honolulu,Ewa,21.33668,-158.12123,Entire Home/Apt,$469.00,6,9,7/13/2019,0.13,17,1,Hawaii,99.70%,"$170,716.00",467.593,Professional,0.07,$255.20,-0.61,515,$316.90,1.48,Premium,4–7 Nights
7178636,"Spacious In Silicon Valley, Nr Apple (Hidden By Airbnb) Kaiser",33291936,Kathryn,Not Specified,San Jose,37.32238,-121.98724,Entire Home/Apt,$108.00,12,17,1/4/2020,0.29,1,335,San Clara Country,8.20%,"$3,240.00",8.856,Individual,0.40,$117.92,-0.99,340,$167.26,0.65,Budget,8–30 Nights
43669065,Clean/Disinfected Little Bungalow Castle (P2),348745371,Zanoza,Other Cities,Glendale,34.17331,-118.29337,Entire Home/Apt,$194.00,2,2,7/7/2020,0.63,22,338,Los Angeles,7.40%,"$5,238.00",14.356,Commercial Operator,0.00,$133.91,-0.88,155,$230.70,0.84,Average,2–3 Nights
12713160,Comfortable Cozy Craftsman Cottage,17021058,William,Not Specified,Ocean Beach,32.7508,-117.2451,Entire Home/Apt,$115.00,2,239,6/7/2020,4.68,1,281,San Diego,23.00%,"$9,660.00",26.45,Individual,257.26,$217.67,5.15,185,$306.57,0.38,Budget,2–3 Nights
37184311,Heart Of Downtown With The Comforts Of Home.,14099328,Josh,Not Specified,District 19,36.1555,-86.77427,Entire Home/Apt,$85.00,1,42,9/8/2020,3.45,1,351,Nashville,3.80%,"$1,190.00",3.23,Individual,5.51,$229.87,1.27,92,$223.27,0.38,Budget,1 Night
17463120,Californian Casablanca Home With Spanish Arches,2027342,Mb,Other Cities,Long Beach,33.777,-118.17017,Entire Home/Apt,$119.00,2,185,8/23/2020,4.32,1,60,Los Angeles,83.60%,"$36,295.00",99.484,Individual,668.13,$126.34,4.10,108,$230.70,0.52,Budget,2–3 Nights
44448598,(B5) (Blue) Bushwick Co-Living,320906372,Linda,Brooklyn,Bedford-Stuyvesant,40.69197,-73.92873,Shared Room,$21.00,5,0,,0,9,140,New York City,61.60%,"$4,725.00",12.936,Professional,0.00,$110.45,-1.58,,$162.83,0.13,Budget,4–7 Nights
19751960,Book Nowpay Later 100 Flexible Waikiki Oceanview,139340705,Yoshi,Honolulu,Primary Urban Center,21.28363,-157.83212,Private Room,$155.00,2,15,1/3/2020,0.4,1,105,Hawaii,71.20%,"$40,300.00",110.36,Individual,4.27,$219.00,-0.88,341,$316.90,0.49,Budget,2–3 Nights
27490848,4 Br Swank Victorian Near United Center Chicago,72651433,Zafar,Not Specified,East Garfield Park,41.87856,-87.69542,Entire Home/Apt,$339.00,3,37,8/16/2020,1.46,5,360,Chicago,1.40%,"$1,695.00",4.746,Small Operator,0.15,$115.17,0.41,115,$152.45,2.22,Premium,2–3 Nights
18794589,Not Specified,67241410,Smil E-Realty,Not Specified,San Jose,37.38193,-121.89785,Private Room,$100.00,30,0,,0,10,364,San Clara Country,0.30%,$100.00,0.3,Professional,0.00,$117.92,-1.45,,$167.26,0.6,Budget,8–30 Nights
4302730,Hillcrest Bed Bath Haven,1607027,Elisabeth,Not Specified,West University Heights,32.75367,-117.15195,Private Room,$125.00,1,0,,0,1,0,San Diego,100.00%,"$45,625.00",125,Individual,0.00,$129.40,-1.40,,$306.57,0.41,Budget,1 Night
9202554,Master Room With Private Bathroom Walkin Closet,44633512,Yuye,Other Cities,Monterey Park,34.06882,-118.11493,Private Room,$46.00,2,90,1/4/2020,1.53,4,0,Los Angeles,100.00%,"$16,790.00",46,Small Operator,34.43,$103.60,0.80,340,$230.70,0.2,Budget,2–3 Nights
45156089,Relax In Comfort 2Br In Long Beach,359066913,Pchsocal,Other Cities,Long Beach,33.76999,-118.19295,Entire Home/Apt,$168.00,30,0,,0,308,360,Los Angeles,1.40%,$840.00,2.352,Commercial Operator,0.00,$126.34,-1.33,,$230.70,0.73,Budget,8–30 Nights
27431938,Hoomaikai Give Thanks To Stay In This Beautfiully Upgraded Condo Located Within The Grounds Of Turtle Bay Resort,3964026,Nicole,Honolulu,Koolauloa,21.70032,-157.99582,Entire Home/Apt,$316.00,1,14,3/15/2020,0.67,15,349,Hawaii,4.40%,"$5,056.00",13.904,Professional,0.03,$317.92,-0.46,269,$316.90,1,Average,1 Night
44573192,Vista One Bedroom Suite- Strip Views From Above,360534367,Lsi,Not Specified,Unincorporated Areas,36.10766,-115.16561,Entire Home/Apt,$119.00,2,1,8/24/2020,1,9,263,Clark County,27.90%,"$12,138.00",33.201,Professional,0.03,$215.51,-0.80,107,$191.70,0.62,Budget,2–3 Nights
22209038,Wyndham Kona Hawaiian (2 Bedroom 2 Bath),100238132,Michael,Hawaii,North Kona,19.62494,-155.98348,Entire Home/Apt,$286.00,3,5,2/23/2019,0.15,14,233,Hawaii,36.20%,"$37,752.00",103.532,Professional,0.02,$286.83,-0.97,655,$316.90,0.9,Average,2–3 Nights
861775,Private Br Shared Bath Sunny Th - B,3517743,Kanita,Not Specified,"Douglas, Shipley Terrace",38.84873,-76.97871,Private Room,$65.00,1,19,7/11/2019,0.28,4,365,Washington D.C.,0.00%,$0.00,0,Small Operator,0.00,$109.33,-1.04,517,$175.34,0.37,Budget,1 Night
12423497,Luxury Building Studio Apartment,2455544,Viola,Manhattan,Midtown,40.76507,-73.98393,Entire Home/Apt,$120.00,5,1,4/5/2016,0.02,1,0,New York City,100.00%,"$43,800.00",120,Individual,0.02,$335.84,-1.38,1709,$162.83,0.74,Budget,4–7 Nights
24760136,"1 Queen, Tv, Cable, Closet,Refrigerator, Microwave",110393389,Kiarash,City Of Los Angeles,West Hills,34.21934,-118.64481,Private Room,$60.00,30,15,4/5/2020,0.59,2,89,Los Angeles,75.60%,"$16,560.00",45.36,Small Operator,3.35,$60.00,-0.92,248,$230.70,0.26,Budget,8–30 Nights
22324130,Rebecca Tom'S Lakehome - Full Lower Level,163205720,Rebecca,Not Specified,Chisago,45.39639,-92.83432,Entire Home/Apt,$250.00,3,0,,0,1,0,Twin Cities Msa,100.00%,"$91,250.00",250,Individual,0.00,$256.67,-1.20,,$556.88,0.45,Budget,2–3 Nights
35214256,Furnished Condo Across The Street From Local Mall,165142961,Jewelswebs,Not Specified,Lauderhill,26.15075,-80.20338,Private Room,$50.00,10,5,2/14/2020,0.41,1,290,Broward County,20.50%,"$3,750.00",10.25,Individual,0.42,$76.33,-1.20,299,$253.11,0.2,Budget,8–30 Nights
22214086,Home In The Heart Of Treme!!!!!!,1363780,Deborah,Not Specified,Treme - Lafitte,29.97189,-90.07576,Entire Home/Apt,$112.00,2,39,3/17/2020,1.24,3,270,New Orleans,26.00%,"$10,640.00",29.12,Small Operator,4.19,$175.94,-0.07,267,$158.95,0.7,Budget,2–3 Nights
41744224,High Walkability Stylish Studio Easy Check-In,329688919,Kelly,Not Specified,Cortez Hill,32.71944,-117.15912,Entire Home/Apt,$120.00,2,17,7/19/2020,2.9,1,82,San Diego,77.50%,"$33,960.00",93,Individual,38.21,$157.08,0.60,143,$306.57,0.39,Budget,2–3 Nights
2191014,Master Br W Priv Ba (Olomana) Optional Extra Room,4583552,Thomas,Honolulu,Koolaupoko,21.38646,-157.72736,Private Room,$88.00,30,78,6/20/2020,0.97,3,256,Hawaii,29.90%,"$9,592.00",26.312,Small Operator,7.54,$402.44,0.34,172,$316.90,0.28,Budget,8–30 Nights
37532545,1 Bedroom Apt. Steps From Union Station Capitol,283454702,Rodney,Not Specified,"Union Station, Stanton Park, Kingman Park",38.89615,-77.00264,Entire Home/Apt,$140.00,3,6,12/3/2020,0.71,1,179,Washington D.C.,51.00%,"$26,040.00",71.4,Individual,2.17,$147.63,-0.86,6,$175.34,0.8,Budget,2–3 Nights
28720554,Little Gem House Close To Mississippi Williams,149028,Adrienne,Not Specified,Humboldt,45.55642,-122.67244,Entire Home/Apt,$100.00,2,22,9/3/2020,2,1,122,Portland,66.60%,"$24,300.00",66.6,Individual,29.30,$92.50,0.11,97,$142.97,0.7,Budget,2–3 Nights
33579893,Luxurious Condo At The Grandview Las Vegas,201816033,Matt,Not Specified,Unincorporated Areas,35.99832,-115.16025,Entire Home/Apt,$65.00,5,10,7/24/2020,0.61,3,0,Clark County,100.00%,"$23,725.00",65,Small Operator,2.03,$215.51,-0.98,138,$191.70,0.34,Budget,4–7 Nights
17670690,No.5 Queen Size Cozy Room,120298130,Coco,Unincorporated Areas,Rowland Heights,33.99256,-117.89826,Private Room,$37.00,2,28,6/7/2020,0.85,6,358,Los Angeles,1.90%,$259.00,0.703,Professional,0.08,$92.83,-0.60,185,$230.70,0.16,Budget,2–3 Nights
